,Year - Month,Carrier,Destination,Departures,Miles,Seats,Passengers,Seat Utilization,Payload (lbs),Freight (lbs),Mail (lbs)
1,2014-01,Air Canada (International),"New York, NY (LGA)",233,"82,835","23,060","14,001",61%,"6,058,613","6,439",0
2,2014-01,AirTran Airways Corporation (Domestic),"New York, NY (LGA)",188,"122,303","22,016","17,643",80%,"4,709,500","19,777",0
3,2014-01,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",273,"59,158","13,650","9,435",69%,"6,425,006","3,489",100
4,2014-01,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,169","1,252,618","174,068","134,035",77%,"46,521,200","75,781",0
5,2014-01,Atlas Air Inc. (Domestic),"New York, NY (LGA)",1,"1,381",102,57,56%,"95,240","23,455",0
6,2014-01,Chautauqua Airlines Inc. (Domestic),"New York, NY (LGA)",361,"163,798","18,050","10,318",57%,"4,146,446",0,0
7,2014-01,Compass Airlines (Domestic),"New York, NY (LGA)",297,"338,927","22,126","12,542",57%,"5,833,850",224,0
8,2014-01,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","1,713","1,573,584","244,842","192,873",79%,"60,475,383","214,665",0
9,2014-01,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",63,"62,163","8,039","5,403",67%,"2,187,778",0,0
10,2014-01,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",362,"225,731","25,242","14,551",58%,"7,000,550",5,0
11,2014-01,Envoy Air (Domestic),"New York, NY (LGA)","1,498","865,496","87,324","46,804",54%,"22,281,100","1,431",0
12,2014-01,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",816,"364,423","50,298","29,509",59%,"12,547,080",221,0
13,2014-01,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",32,"51,840","5,544","5,041",91%,"1,320,000",0,0
14,2014-01,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)","1,020","532,001","67,320","41,562",62%,"17,962,200",0,0
15,2014-01,Island Airlines LLC (Domestic),"New York, NY (LGA)",1,202,9,2,22%,"3,274",0,0
16,2014-01,Jazz Aviation LP (International),"New York, NY (LGA)",78,"25,776","4,075","2,465",60%,"1,196,600",0,0
17,2014-01,JetBlue Airways (Domestic),"New York, NY (LGA)",461,"472,145","69,150","54,042",78%,"17,241,400","20,447",0
18,2014-01,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",44,"16,146","3,305","2,386",72%,"856,800",5,0
19,2014-01,Piedmont Airlines (Domestic),"New York, NY (LGA)",86,"8,256","3,221","2,470",77%,"752,450",359,0
20,2014-01,Republic Airlines (Domestic),"New York, NY (LGA)",126,"31,990","9,838","5,814",59%,"2,687,536",0,0
21,2014-01,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,615","864,179","117,031","65,399",56%,"32,942,738",0,0
22,2014-01,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",509,"473,219","73,723","53,034",72%,"17,853,800","146,136",0
23,2014-01,Spirit Air Lines (Domestic),"New York, NY (LGA)",320,"269,365","57,055","48,980",86%,"11,411,000",0,0
24,2014-01,Tradewind Aviation (Domestic),"New York, NY (LGA)",1,500,7,5,71%,"5,300",0,0
25,2014-01,United Air Lines Inc. (Domestic),"New York, NY (LGA)",539,"657,005","79,880","58,749",74%,"19,993,431","20,769","1,269"
26,2014-01,US Airways Inc. (Domestic),"New York, NY (LGA)",965,"288,540","123,052","73,669",60%,"33,942,100","15,636",0
27,2014-01,Westjet (International),"New York, NY (LGA)",177,"63,189","22,550","10,242",45%,"5,481,309",0,0
1,2014-02,Air Canada (International),"New York, NY (LGA)",213,"75,943","21,093","12,737",60%,"5,625,013","1,411",0
2,2014-02,AirTran Airways Corporation (Domestic),"New York, NY (LGA)",162,"105,623","19,014","14,737",78%,"4,078,500","16,667",0
3,2014-02,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",263,"57,212","13,150","8,032",61%,"6,208,370","3,682",0
4,2014-02,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,041","1,101,349","155,470","122,781",79%,"41,493,800","163,674",0
5,2014-02,Chautauqua Airlines Inc. (Domestic),"New York, NY (LGA)",317,"139,433","15,850","10,601",67%,"3,641,062",0,0
6,2014-02,Compass Airlines (Domestic),"New York, NY (LGA)",188,"221,645","14,042","7,626",54%,"3,700,090",222,0
7,2014-02,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","1,618","1,472,161","234,820","178,038",76%,"56,960,507","262,175",3
8,2014-02,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",55,"55,848","7,065","4,780",68%,"1,920,834",237,0
9,2014-02,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",390,"238,101","27,909","17,197",62%,"7,791,648",42,0
10,2014-02,Envoy Air (Domestic),"New York, NY (LGA)","1,348","775,126","79,357","45,706",58%,"20,331,450","1,975",0
11,2014-02,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",775,"362,496","47,887","29,813",62%,"12,145,860",180,0
12,2014-02,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",30,"48,600","5,040","4,543",90%,"1,200,000",0,0
13,2014-02,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",868,"435,626","60,760","35,552",59%,"15,285,480",0,0
14,2014-02,Jazz Aviation LP (International),"New York, NY (LGA)",76,"25,242","4,100","2,670",65%,"1,185,598",0,0
15,2014-02,JetBlue Airways (Domestic),"New York, NY (LGA)",437,"448,316","65,550","51,963",79%,"16,343,800","19,250",0
16,2014-02,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",28,"10,920","2,140","1,517",71%,"552,240",76,0
17,2014-02,Piedmont Airlines (Domestic),"New York, NY (LGA)",57,"5,472","2,187","1,479",68%,"510,150",74,8
18,2014-02,Republic Airlines (Domestic),"New York, NY (LGA)",112,"27,390","8,751","4,368",50%,"2,390,427",0,0
19,2014-02,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,469","797,442","106,371","61,215",58%,"29,930,293",0,0
20,2014-02,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",436,"400,078","63,098","42,350",67%,"15,236,800","126,574",0
21,2014-02,Spirit Air Lines (Domestic),"New York, NY (LGA)",283,"236,364","52,421","43,453",83%,"10,484,200",0,0
22,2014-02,United Air Lines Inc. (Domestic),"New York, NY (LGA)",493,"595,808","74,204","54,903",74%,"18,806,997","13,731",0
23,2014-02,United Air Lines Inc. (Latin America),"New York, NY (LGA)",2,"3,922",308,264,86%,"81,144",0,0
24,2014-02,US Airways Inc. (Domestic),"New York, NY (LGA)",853,"246,169","107,439","57,005",53%,"29,664,700","10,200",0
25,2014-02,Westjet (International),"New York, NY (LGA)",157,"56,049","19,877","10,721",54%,"4,829,288",0,0
1,2014-03,Air Canada (International),"New York, NY (LGA)",252,"89,758","24,697","15,878",64%,"6,474,061","5,509",0
2,2014-03,AirTran Airways Corporation (Domestic),"New York, NY (LGA)",210,"138,120","24,590","20,795",85%,"5,259,500","22,526",0
3,2014-03,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",343,"73,135","17,150","12,025",70%,"8,133,444","4,903",0
4,2014-03,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,230","1,310,343","184,382","152,237",83%,"49,275,400","489,355",0
5,2014-03,Chautauqua Airlines Inc. (Domestic),"New York, NY (LGA)",470,"185,375","23,500","18,111",77%,"5,398,420",0,0
6,2014-03,Compass Airlines (Domestic),"New York, NY (LGA)",315,"330,278","23,520","14,047",60%,"6,195,296",291,0
7,2014-03,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,169","2,001,934","323,993","262,754",81%,"77,464,753","260,821",25
8,2014-03,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",67,"67,961","8,612","6,045",70%,"2,339,310",0,0
9,2014-03,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",618,"357,355","44,690","29,090",65%,"12,505,062",171,0
10,2014-03,Envoy Air (Domestic),"New York, NY (LGA)","1,646","958,252","96,526","59,040",61%,"24,742,920","1,698",0
11,2014-03,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,074","549,810","66,700","45,275",68%,"16,814,380",148,0
12,2014-03,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",31,"50,220","5,208","5,052",97%,"1,240,000",0,0
13,2014-03,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)","1,212","594,314","84,840","55,817",66%,"21,343,320",0,0
14,2014-03,Jazz Aviation LP (International),"New York, NY (LGA)",93,"30,891","4,974","3,266",66%,"1,444,296",0,0
15,2014-03,JetBlue Airways (Domestic),"New York, NY (LGA)",521,"535,728","78,150","66,295",85%,"19,485,400","21,928",0
16,2014-03,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",44,"15,081","3,287","2,859",87%,"853,376",62,0
17,2014-03,Piedmont Airlines (Domestic),"New York, NY (LGA)",56,"5,376","2,150","1,667",78%,"501,500",129,0
18,2014-03,Republic Airlines (Domestic),"New York, NY (LGA)",137,"34,629","10,685","5,990",56%,"2,919,236",0,0
19,2014-03,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,756","954,032","127,402","74,041",58%,"35,867,856",0,0
20,2014-03,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",293,"98,133","21,387","14,517",68%,"5,623,039","3,993",0
21,2014-03,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",10,"4,190",660,585,89%,"178,400",0,0
22,2014-03,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",564,"523,830","81,774","62,775",77%,"19,749,600","139,125",0
23,2014-03,Spirit Air Lines (Domestic),"New York, NY (LGA)",340,"285,905","62,967","55,420",88%,"12,593,400",0,0
24,2014-03,"Swift Air, LLC (Domestic)","New York, NY (LGA)",1,"1,020",150,64,43%,"34,700",0,0
25,2014-03,United Air Lines Inc. (Domestic),"New York, NY (LGA)",608,"740,044","88,342","76,218",86%,"22,035,151","18,543",0
26,2014-03,United Air Lines Inc. (Latin America),"New York, NY (LGA)",1,"1,961",154,122,79%,"41,778",0,0
27,2014-03,US Airways Inc. (Domestic),"New York, NY (LGA)","1,059","306,368","133,541","71,618",54%,"36,820,800","14,457",2
28,2014-03,Westjet (International),"New York, NY (LGA)",191,"68,187","24,055","13,640",57%,"5,841,159",0,0
2,2014-04,AirTran Airways Corporation (Domestic),"New York, NY (LGA)",202,"131,941","23,634","21,537",91%,"5,050,000","18,551",
3,2014-04,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",352,"75,803","17,600","13,153",75%,"8,349,874","6,355",
4,2014-04,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,269","1,321,540","190,324","159,580",84%,"50,825,200","305,210",
5,2014-04,Chautauqua Airlines Inc. (Domestic),"New York, NY (LGA)",388,"154,193","19,394","13,327",69%,"4,456,833",0,
6,2014-04,Compass Airlines (Domestic),"New York, NY (LGA)",259,"276,195","19,036","12,775",67%,"5,043,202",7,
7,2014-04,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,065","1,890,682","305,787","250,767",82%,"74,369,751","212,641",
8,2014-04,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",64,"64,124","8,300","6,079",73%,"2,222,768",0,
9,2014-04,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",618,"467,383","44,350","31,255",70%,"12,388,036",98,
10,2014-04,Envoy Air (Domestic),"New York, NY (LGA)","1,724","896,728","95,758","58,740",61%,"24,038,060","2,261",
11,2014-04,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,313","630,139","80,333","56,480",70%,"19,709,480",136,
12,2014-04,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",33,"53,460","5,940","5,250",88%,"4,125,000",0,
13,2014-04,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)","1,202","575,776","84,140","55,852",66%,"21,167,220",0,
14,2014-04,Jazz Aviation LP (International),"New York, NY (LGA)",81,"26,637","4,075","2,716",67%,"1,218,800",0,
15,2014-04,JetBlue Airways (Domestic),"New York, NY (LGA)",504,"519,162","75,550","63,280",84%,"18,838,400","19,215",
16,2014-04,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",30,"13,898","2,352","2,094",89%,"602,936",24,
17,2014-04,Piedmont Airlines (Domestic),"New York, NY (LGA)",55,"5,280","2,139","1,522",71%,"498,550",86,
18,2014-04,Republic Airlines (Domestic),"New York, NY (LGA)",123,"33,524","9,697","6,474",67%,"2,646,526",0,
19,2014-04,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,825","943,318","132,387","82,215",62%,"37,271,956",0,
20,2014-04,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",559,"518,150","80,955","66,382",82%,"19,599,000","162,631",
21,2014-04,Spirit Air Lines (Domestic),"New York, NY (LGA)",328,"276,226","60,664","52,282",86%,"12,132,800",0,
22,2014-04,United Air Lines Inc. (Domestic),"New York, NY (LGA)",598,"718,961","88,670","76,076",86%,"22,609,251","28,196",
23,2014-04,US Airways Inc. (Domestic),"New York, NY (LGA)","1,095","312,208","138,377","87,959",64%,"38,208,000","16,853",
24,2014-04,Westjet (International),"New York, NY (LGA)",191,"68,187","23,753","13,853",58%,"5,768,081",0,
1,2014-05,Air Canada (International),"New York, NY (LGA)",347,"123,813","35,054","26,986",77%,"9,484,042","3,195",0
2,2014-05,AirTran Airways Corporation (Domestic),"New York, NY (LGA)",205,"135,193","23,985","21,942",91%,"5,125,000","26,312",0
3,2014-05,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",324,"60,057","16,200","12,872",79%,"7,676,360","1,395",0
4,2014-05,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,202","1,254,109","180,666","159,473",88%,"48,265,600","71,709",0
5,2014-05,Ameristar Air Cargo (Domestic),"New York, NY (LGA)",1,651,147,61,41%,"35,124",0,0
6,2014-05,Chartright Air Inc. (International),"New York, NY (LGA)",1,357,9,4,44%,"2,266",0,0
7,2014-05,Chautauqua Airlines Inc. (Domestic),"New York, NY (LGA)",387,"156,078","19,350","14,300",74%,"4,445,082",0,0
8,2014-05,Compass Airlines (Domestic),"New York, NY (LGA)",369,"364,981","27,237","18,990",70%,"7,207,342",322,0
9,2014-05,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","1,985","1,799,937","292,485","247,909",85%,"72,178,105","330,889",0
10,2014-05,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",7,"11,681","1,052",820,78%,"271,942",0,0
11,2014-05,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",761,"483,316","55,407","41,389",75%,"15,525,836",245,0
12,2014-05,Envoy Air (Domestic),"New York, NY (LGA)","1,738","907,901","96,833","66,872",69%,"24,382,950","3,324",0
13,2014-05,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,080","534,944","65,792","48,925",74%,"16,285,820",189,0
14,2014-05,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",57,"92,340","9,576","9,220",96%,"7,125,000",0,0
